[2023-04-03 14:11:31,148]:INFO:lambda=0
[2023-04-03 14:11:31,148]:INFO:iter=33,mui=0.09
[2023-04-03 14:12:37,614]:INFO:model:easyocr,iter:33 mui:0.09 R:0.4941 P:0.4295 F:0.4595 MUI:0.0906
[2023-04-03 14:17:19,446]:INFO:model:psenet,iter:33 mui:0.09 R:0.6699 P:0.8328 F:0.7425 MUI:0.0906
[2023-04-03 14:27:54,461]:INFO:model:dbnet,iter:33 mui:0.09 R:0.8486 P:0.3132 F:0.4575 MUI:0.0906
[2023-04-03 14:34:10,194]:INFO:model:panpp,iter:33 mui:0.09 R:0.5106 P:0.7428 F:0.6052 MUI:0.0906
[2023-04-03 14:42:39,060]:INFO:model:panet,iter:33 mui:0.09 R:0.7001 P:0.3372 F:0.4552 MUI:0.0906
[2023-04-03 14:46:10,492]:INFO:model:craft,iter:33 mui:0.09 R:0.0665 P:0.7447 F:0.1221 MUI:0.0906
[2023-04-03 14:46:10,492]:INFO:iter=45,mui=0.12
[2023-04-03 14:47:28,326]:INFO:model:easyocr,iter:45 mui:0.12 R:0.2629 P:0.2542 F:0.2585 MUI:0.1199
[2023-04-03 14:52:33,582]:INFO:model:psenet,iter:45 mui:0.12 R:0.3944 P:0.6964 F:0.5036 MUI:0.1199
[2023-04-03 15:05:37,846]:INFO:model:dbnet,iter:45 mui:0.12 R:0.6831 P:0.2315 F:0.3458 MUI:0.1199
[2023-04-03 15:08:13,756]:INFO:model:panpp,iter:45 mui:0.12 R:0.1650 P:0.7151 F:0.2682 MUI:0.1199
[2023-04-03 15:16:55,438]:INFO:model:panet,iter:45 mui:0.12 R:0.5179 P:0.2428 F:0.3306 MUI:0.1199
[2023-04-03 15:19:22,206]:INFO:model:craft,iter:45 mui:0.12 R:0.0035 P:0.5854 F:0.0069 MUI:0.1199
