[2023-04-03 12:12:48,115]:INFO:lambda=0.001
[2023-04-03 12:12:48,115]:INFO:iter=29,mui=0.09
[2023-04-03 12:14:03,857]:INFO:model:easyocr,iter:29 mui:0.09 R:0.5089 P:0.4575 F:0.4819 MUI:0.0901
[2023-04-03 12:19:39,337]:INFO:model:psenet,iter:29 mui:0.09 R:0.6476 P:0.8414 F:0.7319 MUI:0.0901
[2023-04-03 12:29:56,097]:INFO:model:dbnet,iter:29 mui:0.09 R:0.8455 P:0.3229 F:0.4673 MUI:0.0901
[2023-04-03 12:35:52,246]:INFO:model:panpp,iter:29 mui:0.09 R:0.4988 P:0.7386 F:0.5955 MUI:0.0901
[2023-04-03 12:43:13,160]:INFO:model:panet,iter:29 mui:0.09 R:0.6941 P:0.3384 F:0.4550 MUI:0.0901
[2023-04-03 12:45:49,557]:INFO:model:craft,iter:29 mui:0.09 R:0.0629 P:0.7625 F:0.1163 MUI:0.0901
[2023-04-03 12:45:49,557]:INFO:iter=38,mui=0.12
[2023-04-03 12:46:45,469]:INFO:model:easyocr,iter:38 mui:0.12 R:0.2845 P:0.3081 F:0.2958 MUI:0.1206
[2023-04-03 12:50:12,617]:INFO:model:psenet,iter:38 mui:0.12 R:0.3361 P:0.6990 F:0.4539 MUI:0.1206
[2023-04-03 13:01:20,580]:INFO:model:dbnet,iter:38 mui:0.12 R:0.6717 P:0.2441 F:0.3580 MUI:0.1206
[2023-04-03 13:02:58,226]:INFO:model:panpp,iter:38 mui:0.12 R:0.1354 P:0.7046 F:0.2272 MUI:0.1206
[2023-04-03 13:09:05,726]:INFO:model:panet,iter:38 mui:0.12 R:0.4869 P:0.2429 F:0.3241 MUI:0.1206
[2023-04-03 13:10:57,082]:INFO:model:craft,iter:38 mui:0.12 R:0.0025 P:0.5574 F:0.0049 MUI:0.1206
