[2023-04-04 15:43:58,185]:INFO:lambda=0
[2023-04-04 15:43:58,185]:INFO:iter=23,mui=0.09
[2023-04-04 15:45:31,232]:INFO:model:easyocr,iter:23 mui:0.09 R:0.7452 P:0.7183 F:0.7315 MUI:0.0890
[2023-04-04 15:52:10,402]:INFO:model:psenet,iter:23 mui:0.09 R:0.9591 P:0.9671 F:0.9631 MUI:0.0890
[2023-04-04 15:57:44,540]:INFO:model:dbnet,iter:23 mui:0.09 R:0.9020 P:0.8966 F:0.8993 MUI:0.0890
[2023-04-04 16:04:14,709]:INFO:model:panpp,iter:23 mui:0.09 R:0.9082 P:0.9550 F:0.9310 MUI:0.0890
[2023-04-04 16:09:22,166]:INFO:model:panet,iter:23 mui:0.09 R:0.8248 P:0.6938 F:0.7536 MUI:0.0890
[2023-04-04 16:16:27,653]:INFO:model:craft,iter:23 mui:0.09 R:0.7951 P:0.8585 F:0.8255 MUI:0.0890
[2023-04-04 16:16:27,653]:INFO:iter=30,mui=0.12
[2023-04-04 16:17:45,407]:INFO:model:easyocr,iter:30 mui:0.12 R:0.6726 P:0.6595 F:0.6660 MUI:0.1207
[2023-04-04 16:23:28,857]:INFO:model:psenet,iter:30 mui:0.12 R:0.9021 P:0.9556 F:0.9281 MUI:0.1207
[2023-04-04 16:29:09,353]:INFO:model:dbnet,iter:30 mui:0.12 R:0.7733 P:0.7425 F:0.7576 MUI:0.1207
[2023-04-04 16:35:05,001]:INFO:model:panpp,iter:30 mui:0.12 R:0.8050 P:0.9102 F:0.8544 MUI:0.1207
[2023-04-04 16:40:27,903]:INFO:model:panet,iter:30 mui:0.12 R:0.7304 P:0.5666 F:0.6382 MUI:0.1207
[2023-04-04 16:46:04,089]:INFO:model:craft,iter:30 mui:0.12 R:0.4963 P:0.7112 F:0.5847 MUI:0.1207
